"guests","temp_f","dwight_logistics","food_wait_min","dance_floor_prop"
292,93,1,16.8,0.381
311,69,0,18,0.578
221,74,1,11.5,0.577
247,89,1,6.1,0.343
238,85,1,7.8,0.306
278,79,0,13.5,0.331
245,81,1,5.5,0.399
283,78,0,8.2,0.374
251,82,1,9.7,0.478
259,77,0,3.3,0.437
233,82,0,9,0.437
251,77,1,12.5,0.417
235,81,1,8.7,0.379
273,80,0,11.9,0.284
190,84,0,9.8,0.482
267,88,0,13.8,0.468
295,82,1,3.3,0.443
220,73,0,10.8,0.635
251,82,1,9.5,0.637
222,84,1,5.5,0.615
304,87,0,41.2,0.362
259,81,1,23.1,0.436
270,74,0,14.9,0.431
251,88,0,1.6,0.283
217,74,0,6.8,0.417
216,73,1,8.1,0.631
241,67,0,5.3,0.633
327,74,0,25.5,0.235
298,83,1,61.1,0.346
293,88,0,32.1,0.44
232,79,0,2.7,0.34
270,82,1,8.4,0.319
222,79,1,15.1,0.398
268,88,1,22.1,0.397
317,73,0,11.1,0.304
245,77,0,12.9,0.602
272,72,1,25.9,0.223
266,83,0,36.9,0.307
245,78,1,14.3,0.593
272,74,1,13.9,0.244
274,74,0,16.6,0.484
305,80,1,33.2,0.209
236,80,0,10.6,0.478
243,73,1,5.9,0.166
242,83,0,25.9,0.579
229,76,1,8.6,0.616
263,81,0,11.1,0.512
150,78,0,11.8,0.704
270,60,1,26.1,0.418
348,85,0,44.1,0.152
205,81,0,15.7,0.533
212,83,1,7.2,0.646
262,77,0,28.5,0.475
259,84,0,8.7,0.441
256,92,0,34.2,0.273
290,78,1,7.8,0.422
270,66,0,18.2,0.535
273,84,1,17,0.334
289,74,1,13.1,0.18
285,87,0,10.9,0.442
277,74,1,19.1,0.374
235,78,0,5.4,0.46
219,69,0,4.8,0.617
323,75,1,49.8,0.109
191,84,0,4.9,0.642
286,82,0,14.8,0.202
279,79,0,3,0.28
328,80,0,25.9,0.436
298,80,1,31.6,0.169
257,80,0,21.3,0.249
248,75,0,13.1,0.32
248,83,1,19,0.619
227,71,1,6.8,0.365
242,61,0,3.5,0.502
324,84,0,22,0.297
276,83,0,8.6,0.354
264,89,1,11.3,0.452
243,85,1,10.9,0.496
315,92,1,66.6,0.178
260,68,1,38.9,0.416
263,85,0,22.4,0.438
325,82,1,18.7,0.152
295,78,1,24,0.34
267,78,1,9.5,0.469
257,82,1,22,0.335
312,63,0,19.4,0.313
278,72,0,5.9,0.395
242,78,1,20.7,0.351
237,73,0,19.3,0.567
225,60,1,12.2,0.57
222,91,0,11.6,0.355
325,71,0,4.1,0.459
277,73,1,54.2,0.539
316,67,0,8.2,0.571
205,78,1,3.6,0.725
280,73,1,11.9,0.439
243,74,1,4.9,0.523
253,83,1,13.4,0.644
215,82,1,16.6,0.432
274,78,0,17.3,0.39
247,79,0,10.2,0.434
255,83,1,8.8,0.307
279,93,0,8.3,0.31
245,70,1,13.1,0.54
285,80,0,22,0.36
254,81,1,4.6,0.412
274,80,1,8.1,0.191
279,83,1,19.7,0.292
247,80,0,2.5,0.235
241,83,1,8.5,0.685
193,80,1,4.3,0.894
256,73,0,11.6,0.507
227,79,0,19.6,0.469
246,71,1,0.9,0.393
322,74,0,12.9,0.267
197,86,0,4.1,0.416
260,64,0,12.1,0.528
208,72,1,6.2,0.663
287,74,0,15.4,0.467
299,80,0,2.7,0.228
253,81,1,7.1,0.36
234,67,0,3.6,0.457
299,81,0,12.8,0.252
248,69,1,7.1,0.397
328,81,1,63.7,0.164
225,88,1,18.2,0.593
191,81,0,9.9,0.247
259,79,0,6.6,0.601
293,84,0,6,0.224
176,88,1,2.5,0.794
257,71,1,10.1,0.458
216,81,0,15.2,0.401
328,73,0,23.7,0.336
238,85,0,14.2,0.424
242,88,1,14.8,0.411
226,78,1,4.8,0.558
263,76,1,28.8,0.234
227,75,1,4.9,0.611
292,78,0,13.1,0.284
193,86,0,11.7,0.64
293,80,0,6,0.553
210,78,0,10.3,0.661
219,73,1,4.3,0.506
254,73,0,2.6,0.472
307,77,0,11.4,0.17
309,72,0,8.7,0.457
187,86,1,3.3,0.798
271,81,1,28.9,0.346
244,90,1,16.8,0.534
275,61,0,2.4,0.53
347,92,0,43.2,0.24
230,82,0,3,0.367
233,69,1,12.1,0.376
218,76,1,0.9,0.461
289,79,0,19,0.273
219,86,0,15.5,0.415
269,75,0,4.8,0.575
309,82,0,8.8,0.318
323,69,0,4.3,0.332
271,87,0,29.9,0.307
302,67,1,21.8,0.164
229,67,0,13,0.51
214,71,0,1.5,0.571
229,81,0,14.3,0.374
290,64,0,6.7,0.494
177,81,0,12.8,0.6
280,88,1,12.7,0.469
310,89,1,13.6,0.09
205,73,1,4.3,0.611
201,77,0,13.5,0.561
308,76,1,30.6,0.209
270,74,0,18.7,0.446
232,79,1,1.6,0.619
225,75,0,15,0.544
267,79,1,21.5,0.376
275,85,0,8.7,0.179
239,72,0,15.7,0.45
221,69,1,6.2,0.504
262,82,0,12.3,0.3
226,70,1,8.2,0.663
244,77,0,8.7,0.42
192,92,0,1.5,0.513
219,66,0,9,0.704
218,73,0,14.6,0.451
312,68,0,35.6,0.462
208,81,1,9.8,0.61
163,75,0,5.7,0.618
273,95,1,2.1,0.417
292,82,0,10.1,0.169
251,81,0,2.5,0.357
267,79,1,25,0.242
342,82,0,44.3,0.524
264,84,1,22.2,0.522
265,71,1,20.1,0.234
322,81,0,30.2,0.44
304,81,1,4.6,0.128
200,75,0,11.7,0.548
302,75,0,16.5,0.228
240,86,1,14.8,0.56
281,82,1,25.4,0.312
266,71,0,10.8,0.532
295,88,0,15.9,0.224
265,78,0,8.3,0.402
336,87,1,32.6,0.066
243,77,0,7.9,0.467
327,81,1,62.3,0.119
209,84,1,8.9,0.509
206,82,0,15.1,0.401
269,76,1,9.5,0.444
245,77,1,3.9,0.445
200,65,0,7.4,0.713
224,78,1,10.7,0.262
294,71,1,25,0.359
318,81,1,32.4,0.106
267,89,0,11.5,0.308
212,90,0,8.6,0.404
262,91,0,5.9,0.26
289,70,0,19.4,0.37
249,77,1,5.7,0.487
305,78,0,10.6,0.402
183,72,0,5.4,0.605
222,85,0,7.2,0.493
155,70,1,1.3,0.811
271,89,1,5.9,0.225
285,71,0,9.6,0.37
333,77,0,21.1,0.495
242,79,0,6.5,0.406
257,74,1,22.6,0.498
243,84,1,17.1,0.587
223,81,0,4.6,0.346
235,78,1,14.8,0.462
173,67,0,2.4,0.666
199,82,1,2.9,0.421
223,68,0,15.7,0.739
260,87,1,9.8,0.31
256,77,0,11.4,0.505
269,76,1,20.9,0.403
300,82,0,7.3,0.192
295,72,1,35.5,0.158
245,73,1,15.9,0.284
212,83,0,5.8,0.646
333,78,1,88.3,0.111
295,83,0,6.3,0.269
213,82,0,16.1,0.446
264,68,0,5.6,0.431
230,80,1,7.6,0.668
217,80,0,18.5,0.524
337,90,0,8.7,0.075
227,80,1,5.7,0.648
271,80,1,6.6,0.413
285,78,0,12.7,0.468
295,70,1,8.8,0.214
256,91,0,20.3,0.309
218,81,1,8.1,0.587
238,82,1,10.4,0.557
259,83,0,11.3,0.276
281,79,0,22.8,0.413
198,78,0,6.8,0.812
220,67,0,6.4,0.513
326,79,1,59.6,0.064
295,70,0,9.6,0.679
264,74,0,12.2,0.317
199,86,1,3.4,0.559
251,69,1,9.5,0.374
300,90,1,34.5,0.268
255,78,0,11.1,0.373
257,75,0,4,0.382
345,72,0,28.7,0.386
198,83,0,6,0.71
328,73,1,56.5,0.249
309,70,0,21.8,0.457
232,72,1,3.4,0.597
245,76,1,9.7,0.25
298,68,0,20.9,0.474
340,89,0,19.7,0.143
280,72,0,6.4,0.426
221,85,1,9.1,0.398
274,77,1,18.3,0.189
228,76,1,19.8,0.353
206,75,1,4.4,0.669
257,83,0,4.9,0.159
176,67,0,1.7,0.638
261,77,1,14.1,0.36
277,80,0,4.8,0.569
311,81,0,14.6,0.598
306,74,0,40.3,0.241
342,76,0,32.7,0.231
264,82,1,16.2,0.394
246,83,0,4.3,0.243
239,86,0,7.7,0.256
257,78,0,16.3,0.284
224,74,1,10.9,0.754
301,74,1,10.8,0.179
302,73,1,38,0.414
334,77,1,14.4,0.182
279,83,1,28.6,0.353
194,75,0,5.6,0.652
229,87,0,37.4,0.522
255,72,1,18.8,0.394
236,75,1,2.4,0.529
