sales_calls_per_day,hours_at_desk,motivational_poster,promotion_considered,performance_review
33,8.2,Yes,1,Adequate
45,5.9,Yes,1,Disaster
24,7,Yes,1,Adequate
51,7.4,Yes,0,Outstanding
33,7.8,No,1,Adequate
45,8.2,No,1,Outstanding
34,7,No,0,Adequate
35,6.9,No,0,Outstanding
40,8.2,Yes,1,Disaster
35,4.9,No,0,Outstanding
54,6.6,No,1,Adequate
39,7.5,No,1,Adequate
51,9.7,Yes,1,Outstanding
44,7.4,No,1,Outstanding
38,6.5,Yes,0,Outstanding
22,8.6,No,0,Disaster
28,6.6,Yes,0,Adequate
29,6.5,Yes,1,Disaster
38,5.7,Yes,1,Outstanding
44,8.1,Yes,1,Adequate
34,4.6,Yes,0,Adequate
12,7,No,0,Disaster
33,9.2,No,1,Outstanding
33,7.8,Yes,0,Outstanding
28,8,No,1,Adequate
43,5.4,No,1,Adequate
28,8.8,Yes,0,Adequate
16,7.4,Yes,0,Disaster
40,7.2,Yes,0,Adequate
33,6.9,Yes,1,Outstanding
34,9.6,Yes,1,Outstanding
36,7.9,Yes,1,Adequate
44,5.9,No,1,Disaster
26,6.8,No,0,Disaster
39,9.3,Yes,1,Adequate
27,8.1,No,0,Adequate
35,8.8,No,1,Adequate
42,5.6,No,1,Adequate
20,8.4,Yes,0,Adequate
44,5.6,No,1,Adequate
29,6.7,Yes,0,Outstanding
35,7.7,No,0,Disaster
39,8.2,Yes,1,Outstanding
45,8.1,No,1,Adequate
25,6.2,No,1,Disaster
26,5.8,No,0,Outstanding
38,7.8,No,1,Disaster
30,7.6,No,0,Adequate
31,7,No,1,Adequate
41,7.4,No,1,Adequate
43,8.3,No,1,Outstanding
41,6.6,Yes,1,Adequate
41,9.1,Yes,1,Disaster
38,8.7,Yes,1,Outstanding
36,8.2,No,1,Outstanding
44,6.9,No,1,Adequate
25,6.8,Yes,0,Adequate
29,7.1,Yes,1,Adequate
29,8.7,No,0,Adequate
34,8.3,No,0,Adequate
19,6.6,No,0,Disaster
45,8.3,Yes,1,Outstanding
32,7,No,0,Adequate
49,6.2,No,1,Adequate
36,7.2,No,1,Adequate
31,8.2,Yes,1,Disaster
47,9.1,No,0,Adequate
30,7.7,No,0,Outstanding
38,9.3,Yes,1,Adequate
44,7.8,Yes,1,Outstanding
32,8.5,No,0,Adequate
25,8.4,No,0,Adequate
27,8,No,0,Outstanding
38,6.1,No,0,Adequate
38,7.4,No,0,Adequate
44,6.9,No,1,Adequate
41,9,No,0,Adequate
24,8.8,No,0,Adequate
32,8.2,Yes,1,Adequate
46,6.1,Yes,1,Disaster
30,8.7,No,0,Outstanding
35,4.2,No,0,Disaster
31,9.4,Yes,1,Adequate
39,7.2,No,1,Outstanding
26,6.3,Yes,1,Disaster
38,8.1,No,1,Outstanding
43,9.4,Yes,1,Adequate
51,7.8,No,1,Adequate
35,7.5,No,1,Outstanding
39,5.3,No,0,Outstanding
22,8.2,No,0,Disaster
26,11,No,1,Outstanding
45,6.9,Yes,1,Adequate
33,7.5,No,0,Adequate
48,8.6,Yes,1,Adequate
32,7.6,Yes,0,Outstanding
33,7,No,1,Outstanding
30,8.9,No,1,Outstanding
28,6.6,No,0,Adequate
39,7.6,Yes,0,Adequate
35,5.4,No,0,Disaster
28,7.6,No,0,Adequate
38,10.3,Yes,1,Adequate
28,8.4,Yes,1,Adequate
21,5.7,No,0,Disaster
36,8.5,Yes,1,Outstanding
50,8.3,Yes,1,Outstanding
27,6.8,No,0,Adequate
24,8.5,No,1,Disaster
32,8.9,No,1,Outstanding
39,8.1,No,1,Outstanding
