species_size,district,age,commute,public_service,weekend,income,stress,wellbeing,complaint,transport,snacks_purchased
medium,Sahara Square,42,24.7,1,0,79.85,66.8,0,1,Transit,0
small,Sahara Square,33,15.3,0,1,90.91,11.7,0.01,1,Transit,1
large,Downtown,18,36.5,0,1,67.53,13.6,0,1,Transit,1
large,Rainforest,27,43.7,1,1,58.93,60.5,0,1,Transit,2
medium,Downtown,25,42.1,1,0,61.53,52.2,0,1,Transit,0
large,Downtown,24,23.2,0,0,68.78,9.3,0.02,1,Transit,5
large,Rainforest,29,65.7,0,0,62.62,132.7,0,1,Transit,0
medium,Rainforest,25,25.7,0,0,70.39,15.2,0,1,Transit,5
medium,Downtown,26,22.9,0,0,98.64,12.6,0.06,1,Transit,19
large,Downtown,23,37.1,0,0,42.62,13.6,0,1,Transit,3
small,Downtown,21,13.6,1,1,141.17,10,0.07,1,Transit,2
small,Downtown,18,28.6,1,0,101.42,25.4,0,1,Transit,5
medium,Downtown,38,18.9,0,1,42,8.3,0.14,1,Walk,18
medium,Tundratown,19,28,0,1,85.61,22.6,0,1,Transit,7
small,Sahara Square,44,21.2,1,1,81.02,14.9,0,1,Transit,1
small,Tundratown,36,13.4,1,0,88.05,8.9,0.11,1,Transit,31
medium,Rainforest,22,34.4,0,0,74.51,33.4,0,1,Transit,4
large,Downtown,45,16.3,0,0,21.72,11.3,0.05,1,Transit,11
small,Rainforest,46,26.9,1,0,97.59,13.7,0,1,Transit,10
small,Downtown,20,10.3,0,0,104.31,4.1,0.43,1,Transit,5
small,Tundratown,18,9.8,0,1,111.83,4.6,0.45,1,Transit,2
large,Tundratown,35,81,0,0,22.73,466.1,0,1,Transit,0
large,Tundratown,33,13.1,0,0,81.37,14.9,0.02,1,Transit,13
large,Rainforest,28,4.3,1,0,113.84,16.7,0,1,Transit,7
small,Rainforest,37,30.8,0,0,79.94,16.8,0,1,Transit,6
small,Downtown,43,10.8,0,1,96.55,7.7,0.14,1,Walk,81
small,Tundratown,34,7.1,0,0,126.11,12.6,0,1,Walk,6
medium,Sahara Square,50,4,0,1,112.05,5.7,0.17,1,Fly,1
large,Rainforest,18,16.2,1,0,95.2,8.7,0.01,1,Personal,4
small,Sahara Square,29,21.8,0,1,83.57,15.4,0,1,Transit,4
medium,Sahara Square,24,14.2,0,0,61.86,12.2,0.01,1,Fly,1
medium,Downtown,40,23.2,0,0,123.65,9.9,0.06,1,Transit,10
medium,Downtown,29,11.3,0,0,94.77,11.2,0,1,Transit,5
medium,Tundratown,34,5.4,0,1,48.48,10.6,0.01,1,Walk,15
small,Rainforest,41,53.8,0,0,76.09,63.7,0,1,Transit,1
small,Downtown,43,21.6,0,0,120.63,5.6,0.11,1,Transit,10
large,Downtown,36,35.6,0,0,57.8,14.1,0,1,Transit,3
large,Sahara Square,18,15,0,1,89.76,13.8,0,1,Fly,25
medium,Rainforest,21,11.1,1,0,111.19,10.2,0.11,1,Transit,10
medium,Rainforest,30,47.5,1,0,98.22,47.6,0,1,Transit,3
large,Tundratown,36,11,0,0,93.06,10.4,0,1,Transit,1
medium,Tundratown,43,11,0,0,103.26,5.6,0.1,1,Transit,50
small,Tundratown,18,46.3,0,0,80.09,34.9,0,1,Transit,1
small,Rainforest,18,16.5,0,1,142.54,6.4,0.33,1,Personal,7
medium,Rainforest,48,6.7,0,0,104.23,3.4,0.49,1,Personal,11
medium,Rainforest,34,12.9,0,0,82.04,7,0.31,1,Walk,6
small,Tundratown,53,27.3,0,0,72.49,16.3,0,1,Transit,16
medium,Downtown,37,14.7,0,0,56.98,13,0,1,Transit,2
large,Downtown,26,7.2,0,0,75.47,10.5,0.03,1,Walk,3
large,Sahara Square,22,33.7,0,1,75.47,19.8,0,1,Transit,4
small,Tundratown,46,39,0,0,62.63,25.9,0,1,Transit,2
small,Downtown,35,28.8,1,0,91.42,17.2,0.01,1,Transit,4
medium,Sahara Square,35,11.6,1,1,64.28,6.8,0.53,1,Transit,6
small,Rainforest,18,50.1,1,0,89.02,50.9,0,1,Transit,2
medium,Sahara Square,35,11.1,0,0,63.79,6.3,0.08,1,Personal,33
small,Sahara Square,28,8.9,0,1,89.91,8.1,0.05,1,Personal,6
small,Tundratown,18,40.5,0,0,92.28,43.1,0,1,Transit,0
medium,Tundratown,19,16.5,1,1,97.23,15.2,0,1,Transit,1
medium,Tundratown,37,35.3,0,0,67.71,51.8,0,1,Transit,0
medium,Rainforest,28,12.9,0,0,109.72,12.8,0.01,1,Transit,6
medium,Downtown,26,28.1,1,0,64.03,26.8,0,1,Transit,0
small,Downtown,45,18.3,0,0,81.45,10.6,0,1,Transit,44
small,Sahara Square,32,14.2,0,0,88.74,10.4,0.12,1,Personal,15
small,Rainforest,18,18.2,0,0,54.27,4.7,0.27,1,Transit,8
large,Tundratown,36,9.9,0,0,82.49,4.3,0.42,1,Fly,7
small,Rainforest,33,24.5,0,0,91.48,21.3,0,1,Transit,8
small,Downtown,44,23.9,0,1,60.18,13.8,0,1,Fly,18
medium,Downtown,27,12,1,0,73.66,9,0.1,1,Transit,3
small,Rainforest,60,11.9,0,0,104.05,4.6,0.29,1,Personal,19
large,Downtown,40,12.8,0,1,46.35,13.8,0,1,Transit,1
small,Sahara Square,49,39.9,0,1,93.74,22.6,0,1,Transit,20
medium,Sahara Square,31,34.8,1,0,109.78,26.2,0,1,Transit,11
small,Rainforest,23,32.6,1,1,52.19,28.2,0,1,Transit,1
small,Tundratown,34,11.3,0,0,127.39,9.4,0,1,Fly,2
medium,Downtown,51,21.8,1,0,64.54,11.2,0.01,1,Fly,36
medium,Sahara Square,56,23.3,1,0,104.68,30.6,0,1,Transit,6
small,Sahara Square,43,8.5,1,0,103.67,8,0.09,1,Transit,8
medium,Downtown,29,8.2,0,0,111.67,6.8,0.28,1,Walk,14
small,Rainforest,18,22.6,0,0,85.48,10.3,0.01,1,Walk,4
medium,Rainforest,32,9,1,0,112.77,8.2,0.17,1,Transit,4
medium,Tundratown,24,7.2,1,1,102.99,2.5,0.73,1,Personal,2
small,Sahara Square,34,14.3,0,1,113.01,8,0.1,1,Transit,23
large,Sahara Square,43,8.3,0,0,106.64,10.2,0.03,1,Personal,16
small,Sahara Square,18,18.2,1,1,85.14,14.3,0,1,Transit,10
medium,Downtown,40,42.8,0,1,30,20.5,0,1,Transit,3
small,Downtown,29,20.5,0,0,102.71,29,0,1,Transit,2
small,Rainforest,39,23.2,0,0,50.01,16.8,0,1,Transit,18
small,Downtown,31,11.8,1,0,142.71,15.7,0,1,Transit,0
small,Sahara Square,18,23.3,0,1,81.55,17.7,0.01,1,Transit,0
small,Downtown,22,21.9,0,1,61.05,12.6,0.09,1,Transit,1
